GRB Name	Obs_ID	z	1+z	T90_raw(s)	T90_raw_error	T50_raw(s)	T50_raw_error	E1_obsframe(KeV)	E2_obsframe(KeV)	T90_(s)	T90_error	T50_(s)	T50_error
70318	271019	0.838	1.838	94	22.675	33.856	4.432	76.17	190.42	22.064	2.67	10.464	3.458
60814	224552	0.840	1.84	146.464	4.768	61.792	0.701	76.09	190.22	129.648	11.505	59.92	1.527
170903A	770528	0.886	1.886	29.264	3.162	10.912	5.073	74.23	185.58	27.904	5.51	13.264	10.102
140506A	598284	0.889	1.889	113.232	10.643	58.576	3.623	74.11	185.28	60.784	57.44	26.464	31.931
90510	351588	0.903	1.903	0.4	0.113	0.24	0.05	73.57	183.92	0.304	0.066	0.192	0.086
141225A	622476	0.915	1.915	40.336	7.33	16.848	3.373	73.11	182.77	17.68	3.238	8.96	3.206
070714B	284856	0.920	1.92	59.392	7.645	38.384	7.273	72.92	182.29	1.776	0.279	0.832	0.249
080319B	306757	0.937	1.937	133.2	3.638	25.904	0.124	72.28	180.69	45.552	0.385	24.256	0.249
060912A	229185	0.937	1.937	5.056	0.552	1.76	0.182	72.28	180.69	8.512	2.713	3.36	1.401
160131A	672236	0.970	1.97	216.096	21.979	54.64	2.462	71.07	177.66	272.544	51.957	50.096	6.88
91018	373172	0.971	1.971	4.416	0.602	1.568	0.086	71.03	177.57	2.048	0.283	0.896	0.237
80411	309010	1.030	2.03	56.288	0.903	25.025	0.715	68.97	172.41	43.84	2.086	24.208	0.232
51006	158593	1.059	2.059	30.56	4.81	8.592	8.079	67.99	169.99	7.456	1.129	4.448	0.936
130604A	557354	1.060	2.06	37.792	4.627	17.632	2.579	67.96	169.90	28.016	4.249	15.088	4.185
091208B	378559	1.063	2.063	13.984	3	5.696	3.071	67.86	169.66	0.8	0.137	0.4	0.124
201021C	1001130	1.070	2.07	21.584	3.301	8.528	2.132	67.63	169.08	9.136	2.172	4.16	2.515
91024	373674	1.092	2.092	113.696	14.176	49.584	3.924	66.92	167.30	67.36	5.198	39.072	2.257
080413B	309111	1.100	2.1	6.064	1.245	1.68	0.136	66.67	166.67	2.32	0.563	0.864	0.137
180620B	843211	1.118	2.1175	229.968	21.917	45.12	9.44	66.12	165.29	144.208	70.882	25.28	11.174
130701A	559482	1.155	2.155	30.448	27.721	2.528	0.204	64.97	162.41	3.632	0.315	1.6	0.315
190324A	927839	1.172	2.1715	299.984	81.712	32.144	27.954	64.47	161.18	7.168	1.957	3.168	0.25
140213A	586569	1.208	2.2076	59.92	2.691	6.528	0.272	63.42	158.54	17.312	3.8	5.088	0.227
140907A	611933	1.210	2.21	43.888	7.536	13.616	0.784	63.35	158.37	25.648	3.993	10.672	0.917
090926B	370791	1.240	2.24	111.184	12.297	28.528	2.178	62.50	156.25	44	6.677	17.344	2.964
200829A	993768	1.250	2.25	64.416	17.16	2.848	0.057	62.22	155.56	6.352	0.283	2.192	0.057
61007	232683	1.261	2.261	78.32	2.836	23.136	0.192	61.92	154.80	58.432	0.9	22.08	0.352
90530	353567	1.266	2.266	39.648	4.278	23.952	10.948	61.78	154.46	7.44	3.193	2.352	1.746
50126	103780	1.290	2.29	23.248	2.53	12.432	2.036	61.14	152.84	17.808	2.771	10	2.815
131030A	576238	1.293	2.293	41.808	4.054	8.496	0.227	61.06	152.64	19.696	1.704	7.328	0.222
180510B	831816	1.305	2.305	133.152	55.954	28	7.388	60.74	151.84	19.056	5.933	8.08	3.97
61121	239899	1.314	2.314	35.888	25.267	7.472	0.121	60.50	151.25	25.6	52.7	7.024	0.172
141220A	621915	1.320	2.3195	7.504	0.489	3.072	0.92	60.36	150.89	7.424	0.77	2.928	0.602
170604A	755867	1.329	2.329	26.48	2.808	9.008	1.087	60.11	150.28	4.928	0.754	2.608	0.758
71117	296805	1.331	2.331	4.176	0.386	1.52	0.071	60.06	150.15	2.48	0.534	0.928	0.093
150910A	655097	1.359	2.359	126.72	27.241	50.64	8.607	59.35	148.37	32.576	10.868	18.64	11.31
181010A	866434	1.39	2.39	12.704	1.047	7.872	0.723	58.57	146.44	10.256	1.486	7.36	1.809
